questao,item,disciplina,status,rotulo,melhor_score,melhor_arquivo,secao,query,item_texto
46,3,História do Brasil,anotada,Anotada,0.7527,03 - HISTÓRIA DO BRASIL/10 - O processo democrático a partir de 1985/10.5 - Mudanças sociais/_Mudanças sociais.md,V. As Cicatrizes Urbanas da Desigualdade,"movimentos de revolta restritos ao ambiente regional a inconfidência mineira a conjuração dos alfaiates na bahia e a revolução pernambucana de 1817 não visavam à emancipação de todo o território brasileiro
movimentos revolta restritos ambiente regional inconfidência mineira conjuração alfaiates bahia contexto processo independência brasil resultou complexo
**Contexto:** O processo de independência do Brasil resultou de um contexto complexo, determinado por fatores externos e internos.","Movimentos de revolta restritos ao ambiente regional, a Inconfidência Mineira, a Conjuração dos Alfaiates, na Bahia, e a Revolução Pernambucana de 1817 não visavam à emancipação de todo o território brasileiro."
46,4,História do Brasil,anotada,Anotada,0.7441,03 - HISTÓRIA DO BRASIL/02 - O processo de independência/_O Contexto internacional e a independência do Brasil.md,4.1.1. O Contexto internacional e a independência do Brasil (parte 2),"a determinação para que se procedesse à abertura dos portos brasileiros às nações amigas em 1808 foi uma das medidas tomadas pela inglaterra com o objetivo de favorecer o desenvolvimento de práticas e de instituições liberais no brasil
determinação para procedesse abertura portos brasileiros nações amigas 1808 medidas contexto processo independência brasil resultou complexo
**Contexto:** O processo de independência do Brasil resultou de um contexto complexo, determinado por fatores externos e internos.","A determinação para que se procedesse à abertura dos portos brasileiros às nações amigas, em 1808, foi uma das medidas tomadas pela Inglaterra com o objetivo de favorecer o desenvolvimento de práticas e de instituições liberais no Brasil."
47,1,História do Brasil,anotada,Anotada,0.7677,03 - HISTÓRIA DO BRASIL/03 - O Primeiro Reinado (1822-1831)/3.2 - Quadro político interno/_Quadro político interno.md,Análise do Quadro Político Interno (parte 3),"o senado era fator de estabilidade política no império tanto pelo caráter vitalício dos mandatos dos senadores quanto por ter prerrogativas constitucionais como a de aprovar a nomeação de presidentes das províncias e a de assinar tratados internacionais
senado fator estabilidade política império tanto pelo caráter vitalício mandatos contexto durante primeiro reinado consolidou-se independência
**Contexto:** Durante o Primeiro Reinado consolidou-se a independência nacional, construiu-se o arcabouço institucional do Império do Brasil e estabeleceram-se relações diplomáticas com diversos países.","O Senado era fator de estabilidade política no Império, tanto pelo caráter vitalício dos mandatos dos senadores, quanto por ter prerrogativas constitucionais como a de aprovar a nomeação de presidentes das províncias e a de assinar tratados internacionais."
47,2,História do Brasil,anotada,Anotada,0.7733,03 - HISTÓRIA DO BRASIL/03 - O Primeiro Reinado (1822-1831)/3.3 - Política exterior do Primeiro Reinado/_Política exterior do Primeiro Reinado.md,Relações com a Europa e os Estados Unidos,"nas negociações para o reconhecimento da independência brasileira pela grã-bretanha foi importante o interesse de pedro i em preservar sua dinastia
negociações para reconhecimento independência brasileira pela grã-bretanha importante interesse pedro contexto durante primeiro reinado consolidou-se
**Contexto:** Durante o Primeiro Reinado consolidou-se a independência nacional, construiu-se o arcabouço institucional do Império do Brasil e estabeleceram-se relações diplomáticas com diversos países.","Nas negociações para o reconhecimento da independência brasileira pela Grã-Bretanha, foi importante o interesse de Pedro I em preservar sua dinastia."
47,3,História do Brasil,anotada,Anotada,0.7556,"03 - HISTÓRIA DO BRASIL/05 - O Segundo Reinado (1840-1889)/5.2 - Política externa (relações com Europa, EUA, Reino Unido, Guerra do Paraguai)/_Política externa (relações com Europa, EUA, Reino Unido, Guerra do Paraguai).md","Política Externa do Segundo Reinado: Diplomacia, Conflitos e a Guerra do Paraguai","originalmente uma questão concernente apenas ao eixo das relações simétricas entre os estados envolvidos a guerra da cisplatina encerrou-se com a interferência de uma potência externa ao conflito
originalmente questão concernente apenas eixo relações simétricas entre estados envolvidos contexto durante primeiro reinado consolidou-se independência
**Contexto:** Durante o Primeiro Reinado consolidou-se a independência nacional, construiu-se o arcabouço institucional do Império do Brasil e estabeleceram-se relações diplomáticas com diversos países.","Originalmente uma questão concernente apenas ao eixo das relações simétricas entre os Estados envolvidos, a Guerra da Cisplatina encerrou-se com a interferência de uma potência externa ao conflito."
47,4,História do Brasil,anotada,Anotada,0.7139,03 - HISTÓRIA DO BRASIL/05 - O Segundo Reinado (1840-1889)/5.7 - Extra/Questão Militar no Império do Brasil.md,Conclusão: Legados e Rupturas,"contribuíram para a consolidação da independência brasileira importantes ações militares contra tropas leais a lisboa fimdotexto
contribuíram para consolidação independência brasileira importantes ações militares contra tropas contexto durante primeiro reinado consolidou-se
**Contexto:** Durante o Primeiro Reinado consolidou-se a independência nacional, construiu-se o arcabouço institucional do Império do Brasil e estabeleceram-se relações diplomáticas com diversos países.",Contribuíram para a consolidação da independência brasileira importantes ações militares contra tropas leais a Lisboa. !FimDoTexto!
48,1,História do Brasil,anotada,Anotada,0.7681,03 - HISTÓRIA DO BRASIL/08 - A República Liberal (1945-1964)/8.2 - Industrialização e urbanização/_Industrialização e urbanização.md,O Legado Macroeconômico: Crescimento a Qualquer Custo,"o setor agrícola era fundamental para a economia brasileira e em algumas regiões do país a produção era destinada de modo predominante ao mercado interno
setor agrícola fundamental para economia brasileira algumas regiões país produção contexto segundo reinado marcado pelo crescimento
**Contexto:** O período do Segundo Reinado foi marcado pelo crescimento econômico, que se baseou, sobretudo, no setor agrário.","O setor agrícola era fundamental para a economia brasileira e, em algumas regiões do país, a produção era destinada, de modo predominante, ao mercado interno."
48,2,História do Brasil,anotada,Anotada,0.6972,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.2 - As dimensões econômicas e sociais da América Portuguesa/_As dimensões econômicas e sociais da América Portuguesa.md,4. Terra e Poder: A Estrutura Fundiária na América Portuguesa,"lei de terras editada em meados do século xix foi um instrumento jurídico destinado a proteger a propriedade do estado sobre terras devolutas a ele pertencentes
terras editada meados século instrumento jurídico destinado proteger propriedade estado contexto segundo reinado marcado pelo crescimento
**Contexto:** O período do Segundo Reinado foi marcado pelo crescimento econômico, que se baseou, sobretudo, no setor agrário.","Lei de Terras, editada em meados do século XIX, foi um instrumento jurídico destinado a proteger a propriedade do Estado sobre terras devolutas a ele pertencentes."
48,3,História do Brasil,anotada,Anotada,0.7296,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.4 - A economia agroexportadora/_A economia agroexportadora.md,As Políticas de Valorização – Intervenção Estatal em Defesa do Café,"o rápido desenvolvimento da lavoura cafeeira no vale do paraíba tornou viável a utilização de mão de obra de imigrantes europeus nesse trabalho no referido
rápido desenvolvimento lavoura cafeeira vale paraíba tornou viável utilização obra contexto segundo reinado marcado pelo crescimento
**Contexto:** O período do Segundo Reinado foi marcado pelo crescimento econômico, que se baseou, sobretudo, no setor agrário.","O rápido desenvolvimento da lavoura cafeeira no Vale do Paraíba tornou viável a utilização de mão de obra de imigrantes europeus nesse trabalho, no referido período."
48,4,História do Brasil,anotada,Anotada,0.6273,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.4 - A economia agroexportadora/_A economia agroexportadora.md,"O Elenco de Apoio: Açúcar, Algodão e Cacau","entre os principais problemas que afligiram a lavoura de cana-de-açúcar no nordeste destacaram-se a falta de créditos e a ausência de infraestrutura adequada fimdotexto
entre principais problemas afligiram lavoura cana-de-açúcar nordeste destacaram-se falta créditos contexto segundo reinado marcado pelo crescimento
**Contexto:** O período do Segundo Reinado foi marcado pelo crescimento econômico, que se baseou, sobretudo, no setor agrário.",Entre os principais problemas que afligiram a lavoura de cana-de-açúcar no Nordeste destacaram-se a falta de créditos e a ausência de infraestrutura adequada. !FimDoTexto!
49,1,História do Brasil,anotada,Anotada,0.7276,03 - HISTÓRIA DO BRASIL/12 - Formação Territorial/Grandes Questões de Fronteira do Brasil.md,Questão da Cisplatina – Independência do Uruguai (1825-1828) (parte 2),"o contexto da negociação da fronteira entre brasil e uruguai em meados da década de 50 do século xix caracterizou-se pela presença em território uruguaio de tropas do exército imperial brasileiro cujos objetivos incluíam ainda a contenção da política expansionista de juan manuel de rosas líder da confederação argentina
contexto negociação fronteira entre brasil uruguai meados década século caracterizou-se","O contexto da negociação da fronteira entre Brasil e Uruguai, em meados da década de 50 do século XIX, caracterizou-se pela presença em território uruguaio de tropas do Exército Imperial brasileiro, cujos objetivos incluíam, ainda, a contenção da política expansionista de Juan Manuel de Rosas, líder da Confederação Argentina."
49,2,História do Brasil,anotada,Anotada,0.6383,03 - HISTÓRIA DO BRASIL/02 - O processo de independência/_O Contexto internacional e a independência do Brasil.md,A Economia nas primeiras décadas (JD) (parte 5),"a maior parte dos recursos para financiar a participação brasileira na guerra do paraguai adveio de empréstimos internacionais principalmente do banco rothschild de londres
maior parte recursos para financiar participação brasileira guerra paraguai adveio","A maior parte dos recursos para financiar a participação brasileira na Guerra do Paraguai adveio de empréstimos internacionais, principalmente do banco Rothschild, de Londres."
49,3,História do Brasil,anotada,Anotada,0.6795,03 - HISTÓRIA DO BRASIL/01 - O período colonial/1.2 - As dimensões econômicas e sociais da América Portuguesa/_As dimensões econômicas e sociais da América Portuguesa.md,5. A Era do Ouro e suas Ondulações: O Impacto do Ouro em Minas Gerais,"na década de 70 do século xix eram cordiais as relações entre o império do brasil e os estados unidos da américa o que se comprova pela visita de pedro ii à exposição universal do centenário da independência dos eua em 1876
década século eram cordiais relações entre império brasil estados unidos","Na década de 70 do século XIX, eram cordiais as relações entre o Império do Brasil e os Estados Unidos da América, o que se comprova pela visita de Pedro II à Exposição Universal do Centenário da Independência dos EUA, em 1876."
49,4,História do Brasil,anotada,Anotada,0.6178,03 - HISTÓRIA DO BRASIL/10 - O processo democrático a partir de 1985/10.1 - A Constituição de 1988/_A Constituição de 1988.md,"A. Natureza, Princípios e Características Gerais","no final da década de 40 do século xix foi adotada a doutrina de limites a ser seguida pelo império a fim de proteger o status quo territorial a qual estabelecia o princípio do uti possidetis a restrição da validade do tratado de santo ildefonso aos casos em que não houvesse ocupação efetiva do território a negociação bilateral e o arbitramento em última instância
final década século adotada doutrina limites seguida pelo império proteger","No final da década de 40 do século XIX, foi adotada a doutrina de limites a ser seguida pelo Império a fim de proteger o status quo territorial, a qual estabelecia: o princípio do uti possidetis; a restrição da validade do Tratado de Santo Ildefonso aos casos em que não houvesse ocupação efetiva do território; a negociação bilateral; e o arbitramento em última instância."
50,1,História do Brasil,anotada,Anotada,0.7272,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.1 - A proclamação da República e os governos militares/_A proclamação da República e os governos militares.md,A Crise do Autoritarismo e a Primeira Revolta da Armada,"devido a sua política econômica e ao caráter antiliberal de seu governo floriano peixoto enfrentou a má disposição dos estados unidos da américa em apoiar os pleitos comerciais e políticos brasileiros
devido política econômica caráter antiliberal governo floriano peixoto enfrentou disposição contexto militares tiveram brasil papel fundamental
**Contexto:** Os militares tiveram, no Brasil, papel fundamental na passagem do Império para a República e, como consequência, os generais Deodoro da Fonseca e Floriano Peixoto presidiram os primeiros governos republicanos brasileiros.","Devido a sua política econômica e ao caráter antiliberal de seu governo, Floriano Peixoto enfrentou a má disposição dos Estados Unidos da América em apoiar os pleitos comerciais e políticos brasileiros."
50,2,História do Brasil,anotada,Anotada,0.7973,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.1 - A proclamação da República e os governos militares/_A proclamação da República e os governos militares.md,Tabela 2: Conflitos da República da Espada (parte 2),"a rebelião do contestado teve caráter tanto social com a demanda dos revoltosos pelo reconhecimento das terras ocupadas secularmente quanto político de reação ao não cumprimento da constituição de 1891 na sucessão de deodoro da fonseca
rebelião contestado teve caráter tanto social demanda revoltosos pelo reconhecimento contexto militares tiveram brasil papel fundamental
**Contexto:** Os militares tiveram, no Brasil, papel fundamental na passagem do Império para a República e, como consequência, os generais Deodoro da Fonseca e Floriano Peixoto presidiram os primeiros governos republicanos brasileiros.","A rebelião do Contestado teve caráter tanto social, com a demanda dos revoltosos pelo reconhecimento das terras ocupadas secularmente, quanto político, de reação ao não cumprimento da Constituição de 1891 na sucessão de Deodoro da Fonseca."
50,3,História do Brasil,anotada,Anotada,0.7324,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.1 - A proclamação da República e os governos militares/_A proclamação da República e os governos militares.md,A Crise do Autoritarismo e a Primeira Revolta da Armada,"uma das finalidades da impressão de dinheiro ordenada por rui barbosa durante sua gestão como ministro da fazenda foi a de pagar indenizações a fazendeiros pela abolição da escravatura
finalidades impressão dinheiro ordenada barbosa durante gestão como ministro fazenda contexto militares tiveram brasil papel fundamental
**Contexto:** Os militares tiveram, no Brasil, papel fundamental na passagem do Império para a República e, como consequência, os generais Deodoro da Fonseca e Floriano Peixoto presidiram os primeiros governos republicanos brasileiros.",Uma das finalidades da impressão de dinheiro ordenada por Rui Barbosa durante sua gestão como ministro da Fazenda foi a de pagar indenizações a fazendeiros pela abolição da escravatura.
50,4,História do Brasil,anotada,Anotada,0.7271,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.1 - A proclamação da República e os governos militares/_A proclamação da República e os governos militares.md,Os Grandes Conflitos: A República à Prova de Fogo,"o governo de floriano peixoto obteve a simpatia das camadas médias urbanas e estimulou a indústria nacional por meio de auxílio financeiro fimdotexto
governo floriano peixoto obteve simpatia camadas médias urbanas estimulou indústria contexto militares tiveram brasil papel fundamental
**Contexto:** Os militares tiveram, no Brasil, papel fundamental na passagem do Império para a República e, como consequência, os generais Deodoro da Fonseca e Floriano Peixoto presidiram os primeiros governos republicanos brasileiros.",O governo de Floriano Peixoto obteve a simpatia das camadas médias urbanas e estimulou a indústria nacional por meio de auxílio financeiro. !FimDoTexto!
51,1,História do Brasil,anotada,Anotada,0.7026,03 - HISTÓRIA DO BRASIL/09 - O Regime Militar (1964-1985)/9.2 - A economia/_A economia.md,4. 📊 Concentração de Renda e Exclusão Social,"na década de 20 do século xx o movimento tenentista contou com importante participação de oficiais tanto do exército como da marinha tendo apontado os males causados pelo poder excessivo da oligarquia e defendido a descentralização do poder político além de uma política econômica nacionalista
década século movimento tenentista contou importante participação oficiais tanto exército contexto primeira república caracterizou-se pelo regime
**Contexto:** A Primeira República caracterizou-se pelo regime oligárquico e pela economia agroexportadora.","Na década de 20 do século XX, o movimento tenentista contou com importante participação de oficiais tanto do Exército como da Marinha, tendo apontado os males causados pelo poder excessivo da oligarquia e defendido a descentralização do poder político, além de uma política econômica nacionalista."
51,2,História do Brasil,anotada,Anotada,0.6988,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.4 - A economia agroexportadora/_A economia agroexportadora.md,As Políticas de Valorização – Intervenção Estatal em Defesa do Café,"o sistema de colonato adotado pelos fazendeiros do café para a utilização da mão de obra oriunda da imigração fracassou em virtude da resistência dos imigrantes em submeterem-se a longas jornadas de trabalho e à falta de instrumentos agrícolas adequados
sistema colonato adotado pelos fazendeiros café para utilização obra oriunda contexto primeira república caracterizou-se pelo regime
**Contexto:** A Primeira República caracterizou-se pelo regime oligárquico e pela economia agroexportadora.","O sistema de colonato, adotado pelos fazendeiros do café para a utilização da mão de obra oriunda da imigração, fracassou em virtude da resistência dos imigrantes em submeterem-se a longas jornadas de trabalho e à falta de instrumentos agrícolas adequados."
51,3,História do Brasil,anotada,Anotada,0.7496,03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.4 - A economia agroexportadora/_A economia agroexportadora.md,As Políticas de Valorização – Intervenção Estatal em Defesa do Café,"no governo de epitácio pessoa a valorização do preço internacional do café com o consequente ingresso de grande quantidade de moeda forte desvalorizou o câmbio e causou inflação
governo epitácio pessoa valorização preço internacional café consequente ingresso grande contexto primeira república caracterizou-se pelo regime
**Contexto:** A Primeira República caracterizou-se pelo regime oligárquico e pela economia agroexportadora.","No governo de Epitácio Pessoa, a valorização do preço internacional do café, com o consequente ingresso de grande quantidade de moeda forte, desvalorizou o câmbio e causou inflação."
51,4,História do Brasil,anotada,Anotada,0.6777,"03 - HISTÓRIA DO BRASIL/06 - A Primeira República (1889-1930)/6.3 - O regime oligárquico (política dos estados, coronelismo, etc.)/_O regime oligárquico (política dos estados, coronelismo, etc.).md",Coronelismo: Poder Local e _Voto de Cabresto_ (parte 3),"embora os chamados coronéis constituíssem um grupo importante para a sustentação do sistema oligárquico seus interesses concorriam com os de outros atores políticos cuja participação na condução do governo da primeira república era também significativa
embora chamados coronéis constituíssem grupo importante para sustentação sistema oligárquico contexto primeira república caracterizou-se pelo regime
**Contexto:** A Primeira República caracterizou-se pelo regime oligárquico e pela economia agroexportadora.","Embora os chamados coronéis constituíssem um grupo importante para a sustentação do sistema oligárquico, seus interesses concorriam com os de outros atores políticos cuja participação na condução do governo da Primeira República era também significativa."
52,1,História do Brasil,anotada,Anotada,0.8008,03 - HISTÓRIA DO BRASIL/07 - A Era Vargas (1930-1945)/7.1 - O processo político e o quadro econômico-financeiro/_O processo político e o quadro econômico-financeiro.md,A Era Vargas (1930–1945): O Processo Político e a Transformação Econômico-Financeira,"no entre 1930 e 1937 a política econômico-financeira do governo vargas procurou atender a interesses de diversos setores incluindo-se os agrários
entre 1930 1937 política econômico-financeira governo vargas procurou atender interesses contexto chamada revolução levou poder getúlio
**Contexto:** A chamada Revolução de 30 levou ao poder Getúlio Vargas, cujo governo, caracterizado por importantes acontecimentos políticos e econômicos, se estendeu até 1945.","No período entre 1930 e 1937, a política econômico-financeira do governo Vargas procurou atender a interesses de diversos setores, incluindo-se os agrários."
52,2,História do Brasil,anotada,Anotada,0.7267,03 - HISTÓRIA DO BRASIL/07 - A Era Vargas (1930-1945)/7.2 - A Constituição de 1934/_A Constituição de 1934.md,A Revolução de 1932 como Catalisador Político,"em 1932 o levante armado de são paulo contra getúlio vargas reuniu forças políticas que esperavam o retorno das formas oligárquicas de poder bem como aquelas que reivindicavam uma democracia liberal para o país
1932 levante armado paulo contra getúlio vargas reuniu forças políticas contexto chamada revolução levou poder
**Contexto:** A chamada Revolução de 30 levou ao poder Getúlio Vargas, cujo governo, caracterizado por importantes acontecimentos políticos e econômicos, se estendeu até 1945.","Em 1932, o levante armado de São Paulo contra Getúlio Vargas reuniu forças políticas que esperavam o retorno das formas oligárquicas de poder, bem como aquelas que reivindicavam uma democracia liberal para o país."
52,3,História do Brasil,anotada,Anotada,0.7427,03 - HISTÓRIA DO BRASIL/07 - A Era Vargas (1930-1945)/7.1 - O processo político e o quadro econômico-financeiro/_O processo político e o quadro econômico-financeiro.md,A Era Vargas (1930–1945): O Processo Político e a Transformação Econômico-Financeira,"conforme determinava a constituição promulgada em 1934 getúlio vargas foi eleito presidente da república nesse ano por voto direto tendo recebido o apoio de líderes sindicais e de elites regionais
conforme determinava constituição promulgada 1934 getúlio vargas eleito presidente república contexto chamada revolução levou poder
**Contexto:** A chamada Revolução de 30 levou ao poder Getúlio Vargas, cujo governo, caracterizado por importantes acontecimentos políticos e econômicos, se estendeu até 1945.","Conforme determinava a Constituição promulgada em 1934, Getúlio Vargas foi eleito presidente da República, nesse ano, por voto direto, tendo recebido o apoio de líderes sindicais e de elites regionais."
52,4,História do Brasil,anotada,Anotada,0.7621,03 - HISTÓRIA DO BRASIL/07 - A Era Vargas (1930-1945)/7.1 - O processo político e o quadro econômico-financeiro/_O processo político e o quadro econômico-financeiro.md,Estado Novo (1937–1945) (parte 4),"a descoberta do plano cohen com provas de que os integralistas pretendiam tomar o poder por meio de um golpe de estado e alinhar o brasil ao fascismo italiano foi a justificativa empregada por vargas para a instalação da ditadura do estado novo em 1937 fimdotexto
descoberta plano cohen provas integralistas pretendiam tomar poder meio golpe contexto chamada revolução levou getúlio
**Contexto:** A chamada Revolução de 30 levou ao poder Getúlio Vargas, cujo governo, caracterizado por importantes acontecimentos políticos e econômicos, se estendeu até 1945.","A descoberta do plano Cohen, com provas de que os integralistas pretendiam tomar o poder por meio de um golpe de Estado e alinhar o Brasil ao fascismo italiano, foi a justificativa empregada por Vargas para a instalação da ditadura do Estado Novo, em 1937. !FimDoTexto!"
53,1,História do Brasil,anotada,Anotada,0.7179,03 - HISTÓRIA DO BRASIL/03 - O Primeiro Reinado (1822-1831)/3.1 - A Constituição de 1824/_A Constituição de 1824.md,Sumário,"durante o governo dutra lideranças do partido comunista conduziram diversas reivindicações sociais estimuladas pela falta de reajustes do salário mínimo
durante governo dutra lideranças partido comunista conduziram diversas reivindicações sociais contexto 1945 iniciou-se redemocratização brasil seguinte
**Contexto:** Em 1945, iniciou-se a redemocratização do Brasil e, no ano seguinte, o general Eurico Gaspar Dutra foi eleito presidente da República por voto popular.","Durante o governo Dutra, lideranças do partido comunista conduziram diversas reivindicações sociais, estimuladas pela falta de reajustes do salário mínimo."
53,2,História do Brasil,anotada,Anotada,0.7415,03 - HISTÓRIA DO BRASIL/07 - A Era Vargas (1930-1945)/7.5 - Industrialização e legislação trabalhista/_Industrialização e legislação trabalhista.md,Estado empreendedor e indústrias de base (parte 2),"as forças armadas defenderam homogeneamente a industrialização pesada e a exploração e o beneficiamento do petróleo além do ingresso de tecnologia e capitais estrangeiros para viabilizá-las
forças armadas defenderam homogeneamente industrialização pesada exploração beneficiamento petróleo além contexto 1945 iniciou-se redemocratização brasil seguinte
**Contexto:** Em 1945, iniciou-se a redemocratização do Brasil e, no ano seguinte, o general Eurico Gaspar Dutra foi eleito presidente da República por voto popular.","As Forças Armadas defenderam, homogeneamente, a industrialização pesada e a exploração e o beneficiamento do petróleo, além do ingresso de tecnologia e capitais estrangeiros para viabilizá-las."
53,3,História do Brasil,anotada,Anotada,0.6808,03 - HISTÓRIA DO BRASIL/08 - A República Liberal (1945-1964)/8.5 - X/Precedentes da Ditadura Militar.md,Crise do Segundo Governo Vargas (1951–1954),"nas eleições de 1945 getúlio vargas comprovou sua popularidade e sua força eleitoral
eleições 1945 getúlio vargas comprovou popularidade força eleitoral contexto iniciou-se redemocratização brasil seguinte
**Contexto:** Em 1945, iniciou-se a redemocratização do Brasil e, no ano seguinte, o general Eurico Gaspar Dutra foi eleito presidente da República por voto popular.","Nas eleições de 1945, Getúlio Vargas comprovou sua popularidade e sua força eleitoral."
53,4,História do Brasil,anotada,Anotada,0.8039,03 - HISTÓRIA DO BRASIL/07 - A Era Vargas (1930-1945)/7.1 - O processo político e o quadro econômico-financeiro/_O processo político e o quadro econômico-financeiro.md,Estado Novo (1937–1945) (parte 4),"inicialmente o governo dutra manteve a política econômica do estado novo mas a exaustão das divisas acumuladas durante a segunda guerra mundial levou-o a tomar medidas liberalizantes e a retirar o apoio financeiro à indústria nacional em 1947
inicialmente governo dutra manteve política econômica estado novo exaustão divisas contexto 1945 iniciou-se redemocratização brasil seguinte
**Contexto:** Em 1945, iniciou-se a redemocratização do Brasil e, no ano seguinte, o general Eurico Gaspar Dutra foi eleito presidente da República por voto popular.","Inicialmente, o governo Dutra manteve a política econômica do Estado Novo, mas a exaustão das divisas acumuladas durante a Segunda Guerra Mundial levou-o a tomar medidas liberalizantes e a retirar o apoio financeiro à indústria nacional em 1947."
54,1,História do Brasil,anotada,Anotada,0.7889,03 - HISTÓRIA DO BRASIL/10 - O processo democrático a partir de 1985/10.2 - Partidos políticos e eleições/_Partidos políticos e eleições.md,O Presidencialismo de Coalizão como Chave Analítica,"foi a determinação da liberdade de organização partidária na constituição de 1988 o que permitiu a legalização do partido comunista brasileiro e do partido comunista do brasil
determinação liberdade organização partidária constituição 1988 permitiu legalização partido comunista contexto podemos considerar marco
**Contexto:** Podemos considerar a Constituição de 1988 o marco que pôs fim aos últimos vestígios formais do regime autoritário. A abertura iniciada pelo general Geisel em 1974 levou mais de treze anos para desembocar em um regime democrático. Bóris Fausto. Hi",Foi a determinação da liberdade de organização partidária na Constituição de 1988 o que permitiu a legalização do Partido Comunista Brasileiro e do Partido Comunista do Brasil.
54,2,História do Brasil,anotada,Anotada,0.6940,03 - HISTÓRIA DO BRASIL/09 - O Regime Militar (1964-1985)/9.5 - O processo de transição política/_O processo de transição política.md,A Campanha das “Diretas Já” (1983-1984) – O Clamor Popular por Democracia (parte 1),"o governo geisel iniciou a liberalização do regime militar a chamada distensão de modo controlado com o objetivo de construir uma democracia conservadora
governo geisel iniciou liberalização regime militar chamada distensão modo controlado contexto podemos considerar constituição 1988 marco
**Contexto:** Podemos considerar a Constituição de 1988 o marco que pôs fim aos últimos vestígios formais do regime autoritário. A abertura iniciada pelo general Geisel em 1974 levou mais de treze anos para desembocar em um regime democrático. Bóris Fausto. Hi","O governo Geisel iniciou a liberalização do regime militar — a chamada distensão — de modo controlado, com o objetivo de construir uma democracia conservadora."
54,3,História do Brasil,anotada,Anotada,0.6839,03 - HISTÓRIA DO BRASIL/09 - O Regime Militar (1964-1985)/9.5 - O processo de transição política/_O processo de transição política.md,A Campanha das “Diretas Já” (1983-1984) – O Clamor Popular por Democracia (parte 1),"a luta armada contra o regime militar promovida por organizações políticas de esquerda abalou a estrutura política autoritária criando as condições para a vitória da chapa oposicionista tancredo neves josé sarney na eleição presidencial de 1985
luta armada contra regime militar promovida organizações políticas esquerda abalou contexto podemos considerar constituição 1988 marco
**Contexto:** Podemos considerar a Constituição de 1988 o marco que pôs fim aos últimos vestígios formais do regime autoritário. A abertura iniciada pelo general Geisel em 1974 levou mais de treze anos para desembocar em um regime democrático. Bóris Fausto. Hi","A luta armada contra o regime militar, promovida por organizações políticas de esquerda, abalou a estrutura política autoritária, criando as condições para a vitória da chapa oposicionista Tancredo Neves – José Sarney na eleição presidencial de 1985."
54,4,História do Brasil,anotada,Anotada,0.6718,03 - HISTÓRIA DO BRASIL/09 - O Regime Militar (1964-1985)/9.1 - A Constituição de 1967 e as modificações de 1969/_A Constituição de 1967 e as modificações de 1969.md,Foco Estratégico (CACD) – Interpretações e Legado (parte 2),"o governo sarney caracterizou-se pela garantia do exercício das liberdades individuais pelo relativo sucesso na luta contra a inflação e pelas dificuldades em saldar as obrigações da dívida externa fimdotexto história mundial
governo sarney caracterizou-se pela garantia exercício liberdades individuais pelo relativo contexto podemos considerar constituição 1988 marco
**Contexto:** Podemos considerar a Constituição de 1988 o marco que pôs fim aos últimos vestígios formais do regime autoritário. A abertura iniciada pelo general Geisel em 1974 levou mais de treze anos para desembocar em um regime democrático. Bóris Fausto. Hi","O governo Sarney caracterizou-se pela garantia do exercício das liberdades individuais, pelo relativo sucesso na luta contra a inflação e pelas dificuldades em saldar as obrigações da dívida externa. !FimDoTexto! HISTÓRIA MUNDIAL"
55,1,História Mundial,anotada,Anotada,0.5951,04 - HISTÓRIA MUNDIAL/06 - Ideias e regimes políticos/6.1 - Correntes ideológicas do século XIX (liberalismo e nacionalismo)/_Correntes ideológicas do século XIX (liberalismo e nacionalismo).md,3.2 O Impacto das Revoluções de 1848,"o levante liberal em viena em 1848 levou metternich a comandar uma dura repressão militar na capital austríaca que restaurou a ordem anterior
levante liberal viena 1848 levou metternich comandar dura repressão militar contexto 1830 europa tomada movimentos
**Contexto:** Em 1830 e em 1848, a Europa foi tomada por movimentos revolucionários.","O levante liberal em Viena, em 1848, levou Metternich a comandar uma dura repressão militar na capital austríaca, que restaurou a ordem anterior."
55,2,História Mundial,anotada,Anotada,0.6506,04 - HISTÓRIA MUNDIAL/02 - Revoluções/2.1 - A Revolução Francesa e as revoluções burguesas/_A Revolução Francesa e as revoluções burguesas.md,"Os ""Ecos"" de 1789: As Ondas Revolucionárias de 1830 e 1848","embora exprimissem demandas nacionais as revoluções de 1848 constituíram movimentos coordenados articulados de forma central durante as campanhas liberais de paris
embora exprimissem demandas nacionais revoluções 1848 constituíram movimentos coordenados articulados contexto 1830 europa tomada
**Contexto:** Em 1830 e em 1848, a Europa foi tomada por movimentos revolucionários.","Embora exprimissem demandas nacionais, as revoluções de 1848 constituíram movimentos coordenados, articulados de forma central durante as campanhas liberais de Paris."
